source_system,catalog_name,source_key,source_label,order_position,active
ARISSTO,COUNTRY,0000,Mundo,1,true
ARISSTO,COUNTRY,0004,Afganistán,2,true
ARISSTO,COUNTRY,0008,Albania,3,true
ARISSTO,COUNTRY,0010,Antártida,4,true
ARISSTO,COUNTRY,0012,Argelia,5,true
ARISSTO,COUNTRY,0016,Samoa Americana,6,true
ARISSTO,COUNTRY,0020,Andorra,7,true
ARISSTO,COUNTRY,0024,Angola,8,true
ARISSTO,COUNTRY,0028,Antigua y Barbuda,9,true
ARISSTO,COUNTRY,0031,Azerbaiyán,10,true
ARISSTO,COUNTRY,0032,Argentina,11,true
ARISSTO,COUNTRY,0036,Australia,12,true
ARISSTO,COUNTRY,0040,Austria,13,true
ARISSTO,COUNTRY,0044,Bahamas,14,true
ARISSTO,COUNTRY,0048,Bahrein,15,true
ARISSTO,COUNTRY,0050,Bangladesh,16,true
ARISSTO,COUNTRY,0051,Armenia,17,true
ARISSTO,COUNTRY,0052,Barbados,18,true
ARISSTO,COUNTRY,0056,Bélgica,19,true
ARISSTO,COUNTRY,0058,Bélgica-Luxemburgo,20,true
ARISSTO,COUNTRY,0060,Bermudas,21,true
ARISSTO,COUNTRY,0064,Bhután,22,true
ARISSTO,COUNTRY,0068,Bolivia,23,true
ARISSTO,COUNTRY,0070,Bosnia y Herzegovina,24,true
ARISSTO,COUNTRY,0072,Botswana,25,true
ARISSTO,COUNTRY,0074,Isla Bouvet,26,true
ARISSTO,COUNTRY,0076,Brasil,27,true
ARISSTO,COUNTRY,0080,Territorio Antártico Británico,28,true
ARISSTO,COUNTRY,0084,Belice,29,true
ARISSTO,COUNTRY,0086,Territorio Británico del Océano ??ndico,30,true
ARISSTO,COUNTRY,0090,Islas Salomón,31,true
ARISSTO,COUNTRY,0092,Islas Vírgenes Británicas,32,true
ARISSTO,COUNTRY,0096,Brunei Darussalam,33,true
ARISSTO,COUNTRY,0100,Bulgaria,34,true
ARISSTO,COUNTRY,0104,Myanmar,35,true
ARISSTO,COUNTRY,0108,Burundi,36,true
ARISSTO,COUNTRY,0112,Belarús,37,true
ARISSTO,COUNTRY,0116,Camboya,38,true
ARISSTO,COUNTRY,0120,Camerún,39,true
ARISSTO,COUNTRY,0124,Canadá,40,true
ARISSTO,COUNTRY,0132,Cabo Verde,41,true
ARISSTO,COUNTRY,0136,Islas Caimán,42,true
ARISSTO,COUNTRY,0140,República Centroafricana,43,true
ARISSTO,COUNTRY,0144,Sri Lanka,44,true
ARISSTO,COUNTRY,0148,Chad,45,true
ARISSTO,COUNTRY,0152,Chile,46,true
ARISSTO,COUNTRY,0156,China,47,true
ARISSTO,COUNTRY,0158,"Taiwán, China",48,true
ARISSTO,COUNTRY,0162,Isla de Navidad,49,true
ARISSTO,COUNTRY,0166,Islas Cocos (Keeling),50,true
ARISSTO,COUNTRY,0170,Colombia,51,true
ARISSTO,COUNTRY,0174,Comoras,52,true
ARISSTO,COUNTRY,0175,Mayotte,53,true
ARISSTO,COUNTRY,0178,"Congo, Rep. del",54,true
ARISSTO,COUNTRY,0180,"Congo, Rep. Dem. del",55,true
ARISSTO,COUNTRY,0184,Islas Cook,56,true
