arissto_municipality_id,arissto_department_id,municipality_code,name,district,settlement_type,postal_code,region_code
0101,01,01,AHUACHAPAN,Ahuachapán,Ciudad,CP 2101,0102
0102,01,02,APANECA,Ahuachapán,Villa,CP 2102,0102
0103,01,03,ATIQUIZAYA,Atiquizaya,Ciudad,CP 2103,0101
0104,01,04,ATACO,Ahuachapán,Ciudad,CP 2106,0102
0105,01,05,EL REFUGIO,Atiquizaya,Pueblo,CP 2107,0101
0106,01,06,GUAYMANGO,Ahuachapán,Pueblo,CP 2108,0103
0107,01,07,JUJUTLA,Ahuachapán,Villa,CP 2109,0103
0108,01,08,SAN FRANCISCO MENENDEZ,Ahuachapán,Pueblo,CP 2113,0103
0109,01,09,SAN LORENZO,Atiquizaya,Pueblo,CP 2115,1001
0110,01,10,SAN PEDRO PUXTLA,Ahuachapán,Villa,CP 2116,0103
0111,01,11,TACUBA,Ahuachapán,Ciudad,CP 2117,0102
0112,01,12,TURIN,Atiquizaya,Pueblo,CP 2118,0101
0201,02,01,CANDELARIA DE LA FRONTERA,Chalchuapa,Villa,,0204
0202,02,02,COATEPEQUE,Santa Ana,Ciudad,,0203
0203,02,03,CHALCHUAPA,Chalchuapa,Ciudad,CP 2205,0204
0204,02,04,EL CONGO,Santa Ana,Villa,,0203
0205,02,05,EL PORVENIR,Chalchuapa,Pueblo,,0204
0206,02,06,MASAHUAT,Metapán,Pueblo,,0201
0207,02,07,METAPAN,Metapán,Ciudad,,0201
0208,02,08,SAN ANTONIO PAJONAL,Chalchuapa,Pueblo,,0204
0209,02,09,SAN SEBASTIAN SALITRILLO,Chalchuapa,Pueblo,CP 2215,0204
0210,02,10,SANTA ANA,Santa Ana,Ciudad,CP 2201,0202
0211,02,11,SANTA ROSA GUACHIPILIN,Metapán,Pueblo,,0201
0212,02,12,SANTIAGO DE LA FRONTERA,Metapán,Pueblo,,0204
0213,02,13,TEXISTEPEQUE,Santa Ana,Ciudad,,0201
0301,03,01,ACAJUTLA,Sonsonate,Ciudad,,0304
0302,03,02,ARMENIA,Izalco,Ciudad,,0303
0303,03,03,CALUCO,Izalco,Pueblo,,0303
0304,03,04,CUISNAHUAT,Izalco,Pueblo,,0303
0305,03,05,ISHUATAN,Izalco,Villa,,0303
0306,03,06,IZALCO,Izalco,Ciudad,,0303
0307,03,07,JUAYUA,Juayúa,Ciudad,CP 2307,0301
0308,03,08,NAHUIZALCO,Sonsonate,Ciudad,,0301
0309,03,09,NAHULINGO,Sonsonate,Pueblo,,0302
0310,03,10,SALCOATITAN,Juayúa,Pueblo,,0301
0311,03,11,SAN ANTONIO DEL MONTE,Sonsonate,Villa,,0302
0312,03,12,SAN JULIAN,Izalco,Ciudad,,0303
0313,03,13,SANTA CATARINA MASAHUAT,Juayúa,Pueblo,,0301
0314,03,14,SANTO DOMINGO DE GUZMAN,Sonsonate,Pueblo,,0302
0315,03,15,SONSONATE,Sonsonate,Ciudad,CP 2301,0302
0316,03,16,SONZACATE,Sonsonate,Pueblo,CP 2320,0302
0401,04,01,AGUA CALIENTE,Tejutla,Villa,,0402
0402,04,02,ARCATAO,Chalatenango,Ciudad,,0403
0403,04,03,AZACUALPA,Chalatenango,Pueblo,,0403
0404,04,04,CITALA,Tejutla,Villa,,0401
0405,04,05,COMALAPA,Dulce Nombre de María,Pueblo,,0403
0406,04,06,CONCEPCION QUEZALTEPEQUE,Chalatenango,Villa,,0403
0407,04,07,CHALATENANGO,Chalatenango,Ciudad,CP 1301,0403
0408,04,08,DULCE NOMBRE DE MARIA,Dulce Nombre de María,Ciudad,,0402
0409,04,09,EL CARRIZAL,Chalatenango,Pueblo,,0403
0410,04,10,EL PARAISO,Dulce Nombre de María,Pueblo,,0402
0411,04,11,LA LAGUNA,Dulce Nombre de María,Pueblo,,0403
0412,04,12,LA  PALMA,Tejutla,Ciudad,,0401
0413,04,13,LA REINA,Tejutla,Villa,,0402
0414,04,14,LAS VUELTAS,Chalatenango,Pueblo,,0403
0415,04,15,NOMBRE DE JESUS,Chalatenango,Pueblo,,0403
0416,04,16,NUEVA CONCEPCION,Tejutla,Ciudad,,0402
0417,04,17,NUEVA TRINIDAD,Chalatenango,Pueblo,,0403
0418,04,18,OJOS DE AGUA,Chalatenango,Pueblo,,0403
0419,04,19,POTONICO,Chalatenango,Pueblo,,0403
0420,04,20,SAN ANTONIO DE LA CRUZ,Chalatenango,Pueblo,,0403
0421,04,21,SAN ANTONIO DE LOS RANCHOS,Chalatenango,Pueblo,,0403
0422,04,22,SAN FERNANDO,Dulce Nombre de María,Villa,,1301
0423,04,23,SAN FRANCISCO LEMPA,Chalatenango,Villa,,0403
0424,04,24,SAN FRANCISCO MORAZAN,Dulce Nombre de María,Pueblo,,0402
0425,04,25,SAN IGNACIO,Tejutla,Villa,,0402
0426,04,26,SAN ISIDRO LABRADOR,Chalatenango,Villa,CP 1330,0403
0427,04,27,SAN JOSE CANCASQUE,Chalatenango,Pueblo,,0403
0428,04,28,SAN JOSE LAS FLORES,Chalatenango,Pueblo,,0403
0429,04,29,SAN LUIS DEL CARMEN,Chalatenango,Pueblo,,0403
0430,04,30,SAN MIGUEL DE MERCEDES,Chalatenango,Villa,,0403
0431,04,31,SAN RAFAEL,Dulce Nombre de María,Pueblo,,0402
0432,04,32,SANTA RITA,Dulce Nombre de María,Pueblo,,0402
0433,04,33,TEJUTLA,Tejutla,Ciudad,,0402
0501,05,01,ANTIGUO CUSCATLAN,Santa Tecla,Ciudad,CP 1502,0504
0502,05,02,CIUDAD ARCE,San Juan Opico,Ciudad,,0502
0503,05,03,COLON,Santa Tecla,Villa,CP 1512,0503
0504,05,04,COMASAGUA,Santa Tecla,Villa,,0506
0505,05,05,CHILTIUPAN,Santa Tecla,Pueblo,,0505
0506,05,06,HUIZUCAR,Santa Tecla,Villa,,0504
0507,05,07,JAYAQUE,Santa Tecla,Ciudad,,0503
0508,05,08,JICALAPA,Santa Tecla,Pueblo,,0505
0509,05,09,LA LIBERTAD,Santa Tecla,Ciudad,CP 1511,0505
0510,05,10,NUEVO CUSCATLAN,Santa Tecla,Pueblo,CP 1513,0504
0511,05,11,NUEVA SAN SALVADOR,Santa Tecla,Ciudad,CP 1501,
0512,05,12,QUEZALTEPEQUE,Quezaltepeque,Ciudad,,0501
0513,05,13,SACACOYO,Santa Tecla,Pueblo,,0503
0514,05,14,SAN JOSE VILLANUEVA,Santa Tecla,Pueblo,,0504
0515,05,15,SAN JUAN OPICO,San Juan Opico,Ciudad,,0502
0516,05,16,SAN MATIAS,San Juan Opico,Villa,,0501
0517,05,17,SAN PABLO TACACHICO,Quezaltepeque,Villa,,0501
0518,05,18,TAMANIQUE,Santa Tecla,Pueblo,CP 1522,0505
0519,05,19,TALNIQUE,Santa Tecla,Pueblo,,0503
0520,05,20,TEOTEPEQUE,Santa Tecla,Villa,,0505
0521,05,21,TEPECOYO,Santa Tecla,Villa,,0503
0522,05,22,ZARAGOZA,Santa Tecla,Ciudad,,0504
0601,06,01,AGUILARES,Tonacatepeque,Ciudad,CP 1122,0601
0602,06,02,APOPA,Tonacatepeque,Ciudad,CP 1123,0602
0603,06,03,AYUTUXTEPEQUE,San Salvador,Ciudad,CP 1121,0604
0604,06,04,CUSCATANCINGO,San Salvador,Ciudad,CP 1119,0604
0605,06,05,EL PAISNAL,Tonacatepeque,Villa,CP 1124,0601
0606,06,06,GUAZAPA,Tonacatepeque,Ciudad,CP 1125,0601
0607,06,07,ILOPANGO,Tonacatepeque,Ciudad,CP 1117,0603
0608,06,08,MEJICANOS,San Salvador,Ciudad,CP 1120,0604
0609,06,09,NEJAPA,Tonacatepeque,Ciudad,CP 1126,0602
0610,06,10,PANCHIMALCO,Santo Tomás,Villa,CP 1127,0605
0611,06,11,ROSARIO DE MORA,Santo Tomás,Pueblo,CP 1128,0605
0612,06,12,SAN MARCOS,Santo Tomás,Ciudad,CP 1115,0605
0613,06,13,SAN MARTIN,Tonacatepeque,Ciudad,CP 1129,0603
0614,06,14,SAN SALVADOR,San Salvador,Ciudad,CP 1101,0604
0615,06,15,SANTIAGO TEXACUANGOS,Santo Tomás,Villa,CP 1130,0605
0616,06,16,SANTO TOMAS,Santo Tomás,Ciudad,CP 1131,0605
0617,06,17,SOYAPANGO,San Salvador,Ciudad,CP 1116,0603
0618,06,18,TONACATEPEQUE,Tonacatepeque,Ciudad,CP 1132,0603
0619,06,19,CIUDAD DELGADO,San Salvador,Ciudad,CP 1118,0604
0701,07,01,CANDELARIA,Cojutepeque,Villa,,0702
0702,07,02,COJUTEPEQUE,Cojutepeque,Ciudad,CP 1401,0702
0703,07,03,EL CARMEN,Cojutepeque,Pueblo,,0702
0704,07,04,EL ROSARIO,Cojutepeque,Pueblo,,0702
0705,07,05,MONTE SAN JUAN,Cojutepeque,Pueblo,,0702
0706,07,06,ORATORIO DE CONCEPCION,Suchitoto,Pueblo,,0701
0707,07,07,SAN BARTOLOME PERULAPIA,Cojutepeque,Villa,,0701
0708,07,08,SAN CRISTOBAL,Cojutepeque,Villa,,0702
0709,07,09,SAN JOSE GUAYABAL,Suchitoto,Villa,,0701
0710,07,10,SAN PEDRO PERULAPAN,Cojutepeque,Ciudad,,0701
0711,07,11,SAN RAFAEL CEDROS,Cojutepeque,Ciudad,,0702
0712,07,12,SAN RAMON,Cojutepeque,Pueblo,,0702
0713,07,13,SANTA CRUZ ANALQUITO,Cojutepeque,Pueblo,,0702
0714,07,14,SANTA CRUZ MICHAPA,Cojutepeque,Pueblo,,0702
0715,07,15,SUCHITOTO,Suchitoto,Ciudad,CP 1415,0701
0716,07,16,TENANCINGO,Cojutepeque,Villa,,0702
0717,07,17,NECESITA REVISION,,,,
0801,08,01,CUYULTITAN,Olocuilta,Villa,,0801
0802,08,02,EL ROSARIO,San Pedro Masahuat,Ciudad,,0801
0803,08,03,JERUSALEN,San Pedro Nonualco,Pueblo,,0802
0804,08,04,MERCEDES LA CEIBA,San Pedro Nonualco,Pueblo,,0802
0805,08,05,OLOCUILTA,Olocuilta,Ciudad,,0801
0806,08,06,PARAISO DE OSORIO,San Pedro Nonualco,Pueblo,,0802
0807,08,07,SAN ANTONIO MASAHUAT,San Pedro Masahuat,Pueblo,,0802
0808,08,08,SAN EMIGDIO,San Pedro Nonualco,Pueblo,,0802
0809,08,09,SAN FRANCISCO CHINAMECA,Olocuilta,Pueblo,,0801
0810,08,10,SAN JUAN NONUALCO,Zacatecoluca,Ciudad,,0803
0811,08,11,SAN JUAN TALPA,Olocuilta,Villa,,0801
0812,08,12,SAN JUAN TEPEZONTES,San Pedro Masahuat,Villa,,0802
0813,08,13,SAN LUIS TALPA,Olocuilta,Villa,CP 1616,0801
0814,08,14,SAN MIGUEL TEPEZONTES,San Pedro Masahuat,Villa,,0802
0815,08,15,SAN PEDRO MASAHUAT,San Pedro Masahuat,Ciudad,,0801
0816,08,16,SAN  PEDRO NONUALCO,San Pedro Nonualco,Ciudad,,0802
0817,08,17,SAN RAFAEL OBRAJUELO,Zacatecoluca,Ciudad,,0803
0818,08,18,SANTA MARIA OSTUMA,San Pedro Nonualco,Villa,,0802
0819,08,19,SANTIAGO NONUALCO,Zacatecoluca,Ciudad,,0802
0820,08,20,TAPALHUACA,Olocuilta,Pueblo,,0801
0821,08,21,ZACATECOLUCA,Zacatecoluca,Ciudad,CP 1601,0803
0822,08,22,SAN LUIS LA HERRADURA,Zacatecoluca,Pueblo,,0802
0901,09,01,CINQUERA,Ilobasco,Pueblo,CP 1202,0902
0902,09,02,GUACOTECTI,Sensuntepeque,Villa,CP 1203,0901
0903,09,03,ILOBASCO,Ilobasco,Ciudad,CP 1204,0902
0904,09,04,JUTIAPA,Ilobasco,Villa,CP 1206,0902
0905,09,05,SAN ISIDRO,Sensuntepeque,Ciudad,CP 1207,1301
0906,09,06,SENSUNTEPEQUE,Sensuntepeque,Ciudad,CP 1201,0901
0907,09,07,TEJUTEPEQUE,Ilobasco,Ciudad,CP 1209,0902
0908,09,08,VICTORIA,Sensuntepeque,Ciudad,CP 1210,0901
0909,09,09,DOLORES,Sensuntepeque,Ciudad,CP 1209,0901
0915,09,15,NECESITA REVISION,,,,
1001,10,01,APASTEPEQUE,San Vicente,Ciudad,,1001
1002,10,02,GUADALUPE,San Vicente,Ciudad,,1002
1003,10,03,SAN CAYETANO ISTEPEQUE,San Vicente,Villa,,1002
1004,10,04,SANTA CLARA,San Sebastián,Villa,CP 1709,1001
1005,10,05,SANTO DOMINGO,San Sebastián,Ciudad,,1001
1006,10,06,SAN ESTEBAN CATARINA,San Sebastián,Villa,,1001
1007,10,07,SAN ILDEFONSO,San Sebastián,Villa,,1001
1008,10,08,SAN LORENZO,San Sebastián,Villa,,1001
1009,10,09,SAN SEBASTIAN,San Sebastián,Ciudad,,1001
1010,10,10,SAN VICENTE,San Vicente,Ciudad,CP 1701,1002
1011,10,11,TECOLUCA,San Vicente,Ciudad,,1002
1012,10,12,TEPETITAN,San Vicente,Villa,,1002
1013,10,13,VERAPAZ,San Vicente,Ciudad,,1002
1101,11,01,ALEGRIA,Santiago de María,Ciudad,,1101
1102,11,02,BERLIN,Berlín,Ciudad,CP 3403,1101
1103,11,03,CALIFORNIA,Santiago de María,Pueblo,,1102
1104,11,04,CONCEPCION BATRES,Usulután,Villa,,1102
1105,11,05,VILLA EL TRIUNFO,Estanzuelas,Villas,,1101
1106,11,06,EREGUAYQUIN,Usulután,Pueblo,,1102
1107,11,07,ESTANZUELAS,Estanzuelas,Ciudad,CP 3408,1101
1108,11,08,JIQUILISCO,Usulután,Ciudad,,1103
1109,11,09,JUCUAPA,Estanzuelas,Villa,,1101
1110,11,10,JUCUARAN,Usulután,Villa,,1102
1111,11,11,MERCEDES UMANA,Berlín,Villa,,1101
1112,11,12,NUEVA GRANADA,Estanzuelas,Villa,,1101
1113,11,13,OZATLAN,Usulután,Villa,,1102
1114,11,14,PUERTO EL TRIUNFO,Usulután,Pueblo,,1103
1115,11,15,SAN AGUSTIN,Berlín,Villa,,1103
1116,11,16,SAN BUENAVENTURA,Estanzuelas,Pueblo,,1101
1117,11,17,SAN DIONISIO,Usulután,Pueblo,,1102
1118,11,18,SANTA ELENA,Usulután,Ciudad,CP 3422,1102
1119,11,19,SAN FRANCISCO JAVIER,Berlín,Pueblo,,1103
1120,11,20,SANTA MARIA,Usulután,Pueblo,,1102
1121,11,21,SANTIAGO DE MARIA,Santiago de María,Ciudad,CP 3424,1101
1122,11,22,TECAPAN,Santiago de María,Vill,,1102
1123,11,23,USULUTAN,Usulután,Ciudad,CP 3401,1102
1201,12,01,CAROLINA,Sesori,Villa,,1201
1202,12,02,CIUDAD BARRIOS,San Miguel,Ciudad,,1201
1203,12,03,COMACARAN,San Miguel,Villa,,1202
1204,12,04,CHAPELTIQUE,San Miguel,Ciudad,,1201
1205,12,05,CHINAMECA,Chinameca,Ciudad,,1203
1206,12,06,CHIRILAGUA,San Miguel,Ciudad,,1202
1207,12,07,EL TRANSITO,Chinameca,Ciudad,,1203
1208,12,08,LOLOTIQUE,Chinameca,Ciudad,,1203
1209,12,09,MONCAGUA,San Miguel,Ciudad,,1202
1210,12,10,NUEVA GUADALUPE,Chinameca,Ciudad,,1203
1211,12,11,NUEVO EDEN DE SAN JUAN,Sesori,Pueblo,,1201
1212,12,12,QUELEPA,San Miguel,Villa,,1202
1213,12,13,SAN ANTONIO DEL MOSCO,Sesori,Pueblo,,1201
1214,12,14,SAN GERARDO,Sesori,Villa,,1201
1215,12,15,SAN JORGE,Chinameca,Ciudad,,1203
1216,12,16,SAN LUIS DE LA REINA,Sesori,Villa,,1201
1217,12,17,SAN MIGUEL,San Miguel,Ciudad,CP 3301,1202
1218,12,18,SAN RAFAEL ORIENTE,Chinameca,Ciudad,,1203
1219,12,19,SESORI,Sesori,Ciudad,,1201
1220,12,20,ULUAZAPA,San Miguel,Villa,,1202
1301,13,01,ARAMBALA,Jocoaitique,Pueblo,,1301
1302,13,02,CACAOPERA,Osicala,Osicala,CP 3216,1301
1303,13,03,CORINTO,Osicala,Ciudad,,1301
1304,13,04,CHILANGA,San Francisco,Villa,,1302
1305,13,05,DELICIAS DE CONCEPCION,Osicala,Pueblo,,1302
1306,13,06,EL DIVISADERO,San Francisco,Villa,,1302
1307,13,07,EL ROSARIO,Jocoaitique,Villa,,1301
1308,13,08,GUALOCOCTI,Osicala,Pueblo,,1302
1309,13,09,GUATAJIAGUA,San Francisco,Ciudad,,1302
1310,13,10,JOATECA,Jocoaitique,Pueblo,,1301
