gl_code,parent_gl_code,name,disabled,manual_journal_entries_allowed,account_usage,classification_enum,description,acc_level,acc_last_level
1,,ACTIVOS,false,true,2,1,ACTIVOS,1,0
2,,PASIVOS,false,true,2,2,PASIVOS,1,0
3,,PATRIMONIO,false,true,2,3,PATRIMONIO,1,0
4,,DERECHOS FUTUROS Y CONTINGENCIAS,false,true,2,1,DERECHOS FUTUROS Y CONTINGENCIAS,1,0
5,,COMPROMISOS FUTUROS Y CONTINGENCIAS,false,true,2,2,COMPROMISOS FUTUROS Y CONTINGENCIAS,1,0
6,,INGRESOS,false,true,2,4,INGRESOS,1,0
7,,COSTOS,false,true,2,5,COSTOS,1,0
8,,GASTOS,false,true,2,5,GASTOS,1,0
9,,CUENTAS DE ORDEN,false,true,2,6,CUENTAS DE ORDEN,1,0
11,1,ACTIVOS DE INTERMEDIACIÓN,false,true,2,1,ACTIVOS DE INTERMEDIACIÓN,2,0
12,1,OTROS ACTIVOS,false,true,2,1,OTROS ACTIVOS,2,0
13,1,ACTIVO FIJO,false,true,2,1,ACTIVO FIJO,2,0
14,1,Cash & Fund Sources,false,true,1,1,,2,1
15,1,portafolio de creditos – capital,false,true,2,1,,2,0
21,2,PASIVOS DE INTERMEDIACIÓN,false,true,2,2,PASIVOS DE INTERMEDIACIÓN,2,0
22,2,OTROS PASIVOS,false,true,2,2,OTROS PASIVOS,2,0
23,2,OBLIGACIONES CONVERTIBLES EN ACCIONES,false,true,2,2,OBLIGACIONES CONVERTIBLES EN ACCIONES,2,0
24,2,DEUDA SUBORDINADA,false,true,2,2,DEUDA SUBORDINADA,2,0
25,2,fuente de fondos por pagar,false,true,2,2,,2,0
31,3,PATRIMONIO,false,true,2,3,PATRIMONIO,2,0
32,3,PATRIMONIO RESTRINGIDO,false,true,2,3,PATRIMONIO RESTRINGIDO,2,0
33,3,contra- cuenta de apertura,false,true,1,3,,2,1
41,4,DERECHOS FUTUROS Y CONTINGENCIAS,false,true,2,1,DERECHOS FUTUROS Y CONTINGENCIAS,2,0
51,5,COMPROMISOS FUTUROS Y CONTINGENCIAS,false,true,2,2,COMPROMISOS FUTUROS Y CONTINGENCIAS,2,0
61,6,INGRESOS DE OPERACIONES DE INTERMEDIACION,false,true,2,4,INGRESOS DE OPERACIONES DE INTERMEDIACION,2,0
62,6,INGRESOS DE OTRAS OPERACIONES,false,true,2,4,INGRESOS DE OTRAS OPERACIONES,2,0
63,6,INGRESOS NO OPERACIONALES,false,true,2,4,INGRESOS NO OPERACIONALES,2,0
64,6,ingreso por creditos y gestion,false,true,2,4,,2,0
71,7,COSTOS DE OPERACIONES DE INTERMEDIACIÓN,false,true,2,5,COSTOS DE OPERACIONES DE INTERMEDIACIÓN,2,0
72,7,COSTOS DE OTRAS OPERACIONES,false,true,2,5,COSTOS DE OTRAS OPERACIONES,2,0
73,7,perdida de credito - incobrable,false,true,1,5,,2,1
74,7,costo - credito inactivo,false,true,1,5,,2,1
75,7,costo - fraude inactivo,false,true,1,5,,2,1
76,7,costo - condonación,false,true,1,5,,2,1
81,8,GASTOS DE OPERACIÓN,false,true,2,5,GASTOS DE OPERACIÓN,2,0
82,8,GASTOS NO OPERACIONALES,false,true,2,5,GASTOS NO OPERACIONALES,2,0
83,8,IMPUESTOS DIRECTOS,false,true,2,5,IMPUESTOS DIRECTOS,2,0
84,8,CONTRIBUCIONES ESPECIALES ,false,true,2,5,CONTRIBUCIONES ESPECIALES ,2,0
91,9,INFORMACIÓN FINANCIERA,false,true,2,6,INFORMACIÓN FINANCIERA,2,0
92,9,EXISTENCIAS EN LA BÓVEDA,false,true,2,6,EXISTENCIAS EN LA BÓVEDA,2,0
93,9,INFORMACIÓN FINANCIERA POR CONTRA,false,true,1,6,INFORMACIÓN FINANCIERA POR CONTRA,2,1
94,9,EXISTENCIAS EN LA BÓVEDA POR CONTRA,false,true,1,6,EXISTENCIAS EN LA BÓVEDA POR CONTRA,2,1
111,11,FONDOS DISPONIBLES,false,true,2,1,FONDOS DISPONIBLES,3,0
112,11,ADQUISICIÓN TEMPORAL DE DOCUMENTOS,false,true,2,1,ADQUISICIÓN TEMPORAL DE DOCUMENTOS,3,0
113,11,INVERSIONES FINANCIERAS,false,true,2,1,INVERSIONES FINANCIERAS,3,0
114,11,PRÉSTAMOS,false,true,2,1,PRÉSTAMOS,3,0
121,12,SALDOS ENTRE COMPAÑÍAS,false,true,2,1,SALDOS ENTRE COMPAÑÍAS,3,0
122,12,BIENES RECIBIDOS EN PAGO O ADJUDICADOS,false,true,2,1,BIENES RECIBIDOS EN PAGO O ADJUDICADOS,3,0
123,12,EXISTENCIAS,false,true,2,1,EXISTENCIAS,3,0
124,12,GASTOS PAGADOS POR ANTICIPADO Y CARGOS DIFERIDOS,false,true,2,1,GASTOS PAGADOS POR ANTICIPADO Y CARGOS DIFERIDOS,3,0
125,12,CUENTAS POR COBRAR,false,true,2,1,CUENTAS POR COBRAR,3,0
126,12,DERECHOS Y PARTICIPACIONES,false,true,2,1,DERECHOS Y PARTICIPACIONES,3,0
127,12,FONDOS PARA PROVEER DINERO ELECTRÓNICO,false,true,2,1,FONDOS PARA PROVEER DINERO ELECTRÓNICO,3,0
131,13,NO DEPRECIABLES,false,true,2,1,NO DEPRECIABLES,3,0
132,13,DEPRECIABLES,false,true,2,1,DEPRECIABLES,3,0
133,13,AMORTIZABLES,false,true,2,1,AMORTIZABLES,3,0
1510,15,transferencias,false,true,1,1,,3,1
1520,15,interes por cobrar,false,true,1,1,,3,1
1530,15,comisiones por cobrar,false,true,1,1,,3,1
1540,15,penalidades por cobrar,false,true,1,1,,3,1
211,21,DEPÓSITOS,false,true,2,2,DEPÓSITOS,3,0
212,21,PRÉSTAMOS,false,true,2,2,PRÉSTAMOS,3,0
213,21,OBLIGACIONES A LA VISTA,false,true,2,2,OBLIGACIONES A LA VISTA,3,0
214,21,TÍTULOS DE EMISIÓN PROPIA,false,true,2,2,TÍTULOS DE EMISIÓN PROPIA,3,0
215,21,DOCUMENTOS TRANSADOS,false,true,2,2,DOCUMENTOS TRANSADOS,3,0
