source_account_id,gl_code,source_name,source_parent_account_id,parent_gl_code,classifier_code,classifier_name,trial_balance_group,trial_balance_order,income_statement_order,account_order,balance_nature,trial_balance_selected,balance_sheet_selected
0000000001,1,ACTIVOS,,,001,ACTIVO,1,1,,,D,0,0
0000000002,11,ACTIVOS DE INTERMEDIACIÓN,0000000001,1,001,ACTIVO,1,1,,,D,0,0
0000000003,111,FONDOS DISPONIBLES,0000000002,11,001,ACTIVO,1,1,,,D,0,0
0000000004,1110,FONDOS DISPONIBLES,0000000003,111,001,ACTIVO,1,1,,,D,1,1
0000000005,111001,CAJA,0000000004,1110,001,ACTIVO,1,1,,,D,0,0
0000000006,1110010101,CAJA SANTIAGO DE MARIA,0000000005,111001,001,ACTIVO,1,1,,,D,0,0
0000000007,1110010102,CAJA SUCURSAL USULUTAN,0000000005,111001,001,ACTIVO,1,1,,,D,0,0
0000000008,1110010201,AGENCIAS,0000000005,111001,001,ACTIVO,1,1,,,D,0,0
0000000009,1110010202,AGENCIAS,0000000005,111001,001,ACTIVO,1,1,,,D,0,0
0000000010,111001020201,BOVEDA,0000000009,1110010202,001,ACTIVO,1,1,,,D,0,0
0000000011,111001020202,NO. 2,0000000009,1110010202,001,ACTIVO,1,1,,,D,0,0
0000000015,1110010301,BOVEDA,0000000005,111001,001,ACTIVO,1,1,,,D,0,0
0000000016,1110010302,BOVEDA,0000000005,111001,001,ACTIVO,1,1,,,D,0,0
0000000017,111001030201,BOVEDA SANTIAGO DE MARIA,0000000016,1110010302,001,ACTIVO,1,1,,,D,0,0
0000000018,111001030202,BOVEDA USULUTAN,0000000016,1110010302,001,ACTIVO,1,1,,,D,0,0
0000002491,111001030203,CAJA CHICA SANTIAGO DE MARIA,0000000016,1110010302,001,ACTIVO,1,1,,,D,0,0
0000002520,111001030204,CAJA CHICA AGENCIA USULUTAN,0000000016,1110010302,001,ACTIVO,1,1,,,D,0,0
0000000023,1110010401,REMESAS LOCALES EN TRÁNSITO,0000000005,111001,001,ACTIVO,1,1,,,D,0,0
0000000024,1110010402,REMESAS LOCALES EN TRÁNSITO,0000000005,111001,001,ACTIVO,1,1,,,D,0,0
0000000025,111002,DEPÓSITOS EN EL BCR,0000000004,1110,001,ACTIVO,1,1,,,D,0,0
0000000026,1110020101,DEPÓSITOS PARA RESERVA DE LIQUIDEZ,0000000025,111002,001,ACTIVO,1,1,,,D,0,0
0000000027,1110020102,DEPÓSITOS PARA RESERVA DE LIQUIDEZ,0000000025,111002,001,ACTIVO,1,1,,,D,0,0
0000000028,1110020201,ELIMINADA,0000000025,111002,001,ACTIVO,1,1,,,D,0,0
0000000029,1110020202,ELIMINADA,0000000025,111002,001,ACTIVO,1,1,,,D,0,0
0000000030,1110020301,DEPÓSITOS OTROS,0000000025,111002,001,ACTIVO,1,1,,,D,0,0
0000000031,1110020302,DEPÓSITOS OTROS,0000000025,111002,001,ACTIVO,1,1,,,D,0,0
0000000032,1110029901,INTERESES Y OTROS POR COBRAR,0000000025,111002,001,ACTIVO,1,1,,,D,0,0
0000000033,1110029902,INTERESES Y OTROS POR COBRAR,0000000025,111002,001,ACTIVO,1,1,,,D,0,0
